trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
21007799,2018-10-02 13:14:20,2018-10-02 13:33:14,6392,"1,134.0",35,Streeter Dr & Grand Ave,211.0,St. Clair St & Erie St,Customer,,
21007800,2018-10-02 13:14:36,2018-10-02 13:21:52,4851,436.0,423,University Ave & 57th St,428.0,Dorchester Ave & 63rd St,Subscriber,Female,1991.0
21007801,2018-10-02 13:14:40,2018-10-02 13:43:40,2097,"1,740.0",2,Buckingham Fountain,90.0,Millennium Park,Customer,,
21007802,2018-10-02 13:14:41,2018-10-02 13:35:11,467,"1,230.0",285,Wood St & Hubbard St,258.0,Logan Blvd & Elston Ave,Customer,,
21007803,2018-10-02 13:14:45,2018-10-02 13:23:46,4893,541.0,33,State St & Van Buren St,68.0,Clinton St & Tilden St,Subscriber,Male,1968.0
21007804,2018-10-02 13:14:48,2018-10-02 13:37:16,2283,"1,348.0",35,Streeter Dr & Grand Ave,211.0,St. Clair St & Erie St,Customer,,
21007805,2018-10-02 13:14:58,2018-10-02 13:33:54,1588,"1,136.0",35,Streeter Dr & Grand Ave,211.0,St. Clair St & Erie St,Customer,,
21007807,2018-10-02 13:15:15,2018-10-02 13:43:40,888,"1,705.0",2,Buckingham Fountain,90.0,Millennium Park,Customer,,
21007808,2018-10-02 13:15:29,2018-10-02 13:29:03,511,814.0,337,Clark St & Chicago Ave,337.0,Clark St & Chicago Ave,Subscriber,Female,1989.0
21007809,2018-10-02 13:15:34,2018-10-02 13:39:11,4302,"1,417.0",60,Dayton St & North Ave,49.0,Dearborn St & Monroe St,Customer,,
21007810,2018-10-02 13:15:34,2018-10-02 13:29:02,2371,808.0,291,Wells St & Evergreen Ave,286.0,Franklin St & Quincy St,Subscriber,Male,1968.0
21007811,2018-10-02 13:15:36,2018-10-02 13:21:44,4244,368.0,110,Dearborn St & Erie St,85.0,Michigan Ave & Oak St,Subscriber,Male,1989.0
21007812,2018-10-02 13:15:44,2018-10-02 13:19:39,5353,235.0,173,Mies van der Rohe Way & Chicago Ave,172.0,Rush St & Cedar St,Subscriber,Male,1986.0
21007813,2018-10-02 13:15:49,2018-10-02 13:18:13,4592,144.0,195,Columbus Dr & Randolph St,43.0,Michigan Ave & Washington St,Subscriber,Male,1966.0
21007814,2018-10-02 13:15:52,2018-10-02 13:28:24,151,752.0,69,Damen Ave & Pierce Ave,315.0,Elston Ave & Wabansia Ave,Customer,,
21007815,2018-10-02 13:15:55,2018-10-02 13:20:39,432,284.0,283,LaSalle St & Jackson Blvd,174.0,Canal St & Madison St,Subscriber,Female,1987.0
21007816,2018-10-02 13:16:00,2018-10-02 13:23:06,6283,426.0,49,Dearborn St & Monroe St,199.0,Wabash Ave & Grand Ave,Subscriber,Male,1963.0
21007817,2018-10-02 13:16:25,2018-10-02 13:20:53,5844,268.0,231,Sheridan Rd & Montrose Ave,323.0,Sheridan Rd & Lawrence Ave,Subscriber,Male,1993.0
21007818,2018-10-02 13:16:25,2018-10-02 13:25:42,2094,557.0,259,California Ave & Francis Pl,507.0,Humboldt Blvd & Armitage Ave,Subscriber,Male,1983.0
21007819,2018-10-02 13:16:31,2018-10-02 13:22:43,4179,372.0,293,Broadway & Wilson Ave,295.0,Broadway & Argyle St,Subscriber,Male,1992.0
21007820,2018-10-02 13:16:32,2018-10-02 13:38:50,1354,"1,338.0",89,Financial Pl & Congress Pkwy (Temp),196.0,Cityfront Plaza Dr & Pioneer Ct,Customer,,
21007821,2018-10-02 13:16:39,2018-10-02 13:28:43,2746,724.0,52,Michigan Ave & Lake St,627.0,LaSalle Dr & Huron St (*),Subscriber,Male,1992.0
21007822,2018-10-02 13:16:56,2018-10-02 14:05:56,2765,"2,940.0",426,Ellis Ave & 60th St,417.0,Cornell Ave & Hyde Park Blvd,Subscriber,Male,1995.0
21007823,2018-10-02 13:17:04,2018-10-02 13:24:17,2099,433.0,43,Michigan Ave & Washington St,18.0,Wacker Dr & Washington St,Subscriber,Male,1990.0
21007824,2018-10-02 13:17:05,2018-10-02 13:24:13,6169,428.0,638,Clinton St & Jackson Blvd (*),81.0,Daley Center Plaza,Subscriber,Female,1981.0
21007825,2018-10-02 13:17:14,2018-10-02 13:21:23,4939,249.0,107,Desplaines St & Jackson Blvd,103.0,Clinton St & Polk St (*),Subscriber,Male,1986.0
21007826,2018-10-02 13:17:19,2018-10-02 13:25:09,6092,470.0,182,Wells St & Elm St,100.0,Orleans St & Merchandise Mart Plaza,Subscriber,Female,1991.0
21007827,2018-10-02 13:17:23,2018-10-02 13:25:32,3968,489.0,66,Clinton St & Lake St,53.0,Wells St & Huron St,Subscriber,Female,1968.0
21007829,2018-10-02 13:17:39,2018-10-02 13:29:51,2411,732.0,40,LaSalle St & Adams St,140.0,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1976.0
21007830,2018-10-02 13:17:39,2018-10-02 13:27:29,1030,590.0,486,Oakley Ave & Irving Park Rd,239.0,Western Ave & Leland Ave,Subscriber,Male,1980.0
21007831,2018-10-02 13:17:44,2018-10-02 13:33:02,1614,918.0,35,Streeter Dr & Grand Ave,211.0,St. Clair St & Erie St,Customer,,
21007832,2018-10-02 13:17:49,2018-10-02 13:32:06,4477,857.0,247,Shore Dr & 55th St,328.0,Ellis Ave & 58th St,Subscriber,Male,1993.0
21007833,2018-10-02 13:17:52,2018-10-02 13:29:00,2053,668.0,334,Lake Shore Dr & Belmont Ave,220.0,Clark St & Drummond Pl,Customer,,
21007834,2018-10-02 13:17:55,2018-10-02 13:21:24,3661,209.0,287,Franklin St & Monroe St,100.0,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1967.0
21007836,2018-10-02 13:18:00,2018-10-02 13:25:28,6378,448.0,25,Michigan Ave & Pearson St,52.0,Michigan Ave & Lake St,Subscriber,Female,1994.0
21007837,2018-10-02 13:18:07,2018-10-02 13:27:15,5871,548.0,115,Sheffield Ave & Wellington Ave,220.0,Clark St & Drummond Pl,Subscriber,Male,1969.0
21007839,2018-10-02 13:18:19,2018-10-02 13:30:18,3272,719.0,186,Ogden Ave & Race Ave,183.0,Damen Ave & Thomas St (Augusta Blvd),Subscriber,Male,1969.0
21007841,2018-10-02 13:18:43,2018-10-02 13:22:22,1052,219.0,320,Loomis St & Lexington St,261.0,Hermitage Ave & Polk St,Subscriber,Male,1992.0
21007842,2018-10-02 13:18:46,2018-10-02 13:33:01,440,855.0,359,Larrabee St & Division St,85.0,Michigan Ave & Oak St,Customer,Male,1961.0
21007843,2018-10-02 13:18:49,2018-10-02 13:26:56,1550,487.0,289,Wells St & Concord Ln,331.0,Halsted St & Clybourn Ave (*),Subscriber,Male,1990.0
21007845,2018-10-02 13:19:06,2018-10-02 13:21:40,1608,154.0,168,Michigan Ave & 14th St,59.0,Wabash Ave & Roosevelt Rd,Subscriber,Male,1989.0
21007847,2018-10-02 13:19:22,2018-10-02 13:36:39,9,"1,037.0",283,LaSalle St & Jackson Blvd,24.0,Fairbanks Ct & Grand Ave,Subscriber,Male,1973.0
